nation,lsoa,overall_local_score,income_score,employment_score,GB_IMD_E_score,original_decile,E_expanded_decile,GB_IMD_E_rank,GB_IMD_E_pop_decile,GB_IMD_E_pop_quintile
S,S01011598,88.10305197070684,45.0,44.0,82.67881359456412,1,1.0,27.0,1,1
E,E01006611,82.675,51.0,37.3,82.675,1,1.0,28.0,1,1
E,E01007122,82.666,54.900000000000006,41.4,82.666,1,1.0,29.0,1,1
S,S01010644,84.77049346708729,46.0,35.0,82.32282152435516,1,1.0,30.0,1,1
E,E01012675,82.236,51.0,35.699999999999996,82.236,1,1.0,31.0,1,1
E,E01012897,82.194,49.7,36.4,82.194,1,1.0,32.0,1,1
S,S01010326,83.10562442220164,45.0,32.0,81.80489288946102,1,1.0,33.0,1,1
E,E01013139,81.738,49.5,37.1,81.738,1,1.0,34.0,1,1
E,E01013138,81.548,47.599999999999994,35.8,81.548,1,1.0,35.0,1,1
S,S01012067,84.46136597850825,48.0,35.0,81.45182158328149,1,1.0,36.0,1,1
E,E01026383,81.3,45.300000000000004,36.7,81.3,1,1.0,37.0,1,1
S,S01012492,83.21439319040907,42.0,35.0,81.26161753051167,1,1.0,38.0,1,1
S,S01010114,82.82911321180518,44.0,33.0,81.22057767738039,1,1.0,39.0,1,1
E,E01030258,81.147,43.9,38.1,81.147,1,1.0,40.0,1,1
E,E01007127,81.054,50.4,38.2,81.054,1,1.0,41.0,1,1
E,E01006874,81.0,51.300000000000004,41.099999999999994,81.0,1,1.0,42.0,1,1
S,S01010862,82.83404281166146,43.0,35.0,80.53503082622093,1,1.0,43.0,1,1
S,S01009975,82.86943737512416,46.0,34.0,80.33602645883076,1,1.0,44.0,1,1
E,E01012736,80.117,42.4,38.7,80.117,1,1.0,45.0,1,1
W,W01000991,77.5,46.0,30.0,79.97088231274357,1,1.0,46.0,1,1
W,W01001274,77.8,47.0,29.0,79.94887492345617,1,1.0,47.0,1,1
E,E01012622,79.94,48.1,37.9,79.94,1,1.0,48.0,1,1
S,S01007963,81.08993564348918,46.0,30.0,79.89814581169189,1,1.0,49.0,1,1
E,E01006540,79.58,44.6,34.599999999999994,79.58,1,1.0,50.0,1,1
S,S01008787,83.70380944486544,43.0,40.0,79.3360021117387,1,1.0,51.0,1,1
E,E01005482,79.3,51.2,44.9,79.3,1,1.0,52.0,1,1
E,E01008427,79.298,49.4,40.400000000000006,79.298,1,1.0,53.0,1,1
S,S01012489,82.17423540456834,45.0,35.0,79.2119302888549,1,1.0,54.0,1,1
E,E01025117,79.13,42.3,34.0,79.13,1,1.0,55.0,1,1
S,S01010499,80.04437806293784,42.0,31.0,79.03107097289283,1,1.0,56.0,1,1
E,E01006760,79.006,38.800000000000004,35.9,79.006,1,1.0,57.0,1,1
E,E01012655,78.945,53.5,45.0,78.945,1,1.0,58.0,1,1
E,E01028276,78.837,45.5,37.3,78.837,1,1.0,59.0,1,1
E,E01006562,78.655,42.199999999999996,32.2,78.655,1,1.0,60.0,1,1
S,S01010054,78.6208275181664,40.0,29.0,78.59641916224496,1,1.0,61.0,1,1
E,E01011372,78.577,45.0,31.3,78.577,1,1.0,62.0,1,1
S,S01011609,78.60205443770506,40.0,29.0,78.57221669035329,1,1.0,63.0,1,1
S,S01009622,84.98470540365814,52.0,41.0,78.39716810403081,1,1.0,64.0,1,1
E,E01026625,78.389,47.699999999999996,37.4,78.389,1,1.0,65.0,1,1
E,E01012855,78.371,46.300000000000004,38.0,78.371,1,1.0,66.0,1,1
E,E01012895,78.352,48.3,30.599999999999998,78.352,1,1.0,67.0,1,1
E,E01012889,78.298,46.5,35.699999999999996,78.298,1,1.0,68.0,1,1
S,S01010129,79.25801638401158,45.0,29.0,78.236717356546,1,1.0,69.0,1,1
E,E01006563,78.172,49.1,38.0,78.172,1,1.0,70.0,1,1
E,E01012948,78.1,44.4,40.2,78.1,1,1.0,71.0,1,1
E,E01008978,78.083,55.800000000000004,47.699999999999996,78.083,1,1.0,72.0,1,1
E,E01012090,78.009,51.4,42.9,78.009,1,1.0,73.0,1,1
E,E01012058,77.977,48.9,36.1,77.977,1,1.0,74.0,1,1
S,S01010493,79.7459412155075,45.0,31.0,77.93761892131695,1,1.0,75.0,1,1
S,S01008569,80.25848367534249,38.0,36.0,77.93169494045786,1,1.0,76.0,1,1
E,E01024609,77.896,43.9,33.6,77.896,1,1.0,77.0,1,1
S,S01008007,79.52828059784784,44.0,31.0,77.89324295055432,1,1.0,78.0,1,1
E,E01005202,77.768,47.3,32.0,77.768,1,1.0,79.0,1,1
E,E01004960,77.703,54.50000000000001,39.2,77.703,1,1.0,80.0,1,1
E,E01012041,77.591,57.8,44.2,77.591,1,1.0,81.0,1,1
E,E01012721,77.561,51.7,44.5,77.561,1,1.0,82.0,1,1
E,E01013136,77.552,50.3,43.0,77.552,1,1.0,83.0,1,1
S,S01009126,77.25736270273397,37.0,29.0,77.54732841883225,1,1.0,84.0,1,1
E,E01007005,77.512,44.5,37.7,77.512,1,1.0,85.0,1,1
E,E01007532,77.257,40.9,35.9,77.257,1,1.0,86.0,1,1
E,E01033228,77.148,48.8,36.1,77.148,1,1.0,87.0,1,1
E,E01007007,77.125,51.0,47.4,77.125,1,1.0,88.0,1,1
E,E01005918,77.101,47.8,42.4,77.101,1,1.0,89.0,1,1
E,E01012738,77.09,37.9,33.0,77.09,1,1.0,90.0,1,1
E,E01011662,77.034,43.1,31.7,77.034,1,1.0,91.0,1,1
E,E01024906,77.026,36.9,30.7,77.026,1,1.0,92.0,1,1
E,E01012114,76.969,50.0,37.4,76.969,1,1.0,93.0,1,1
S,S01010118,76.6092886015822,40.0,27.0,76.93125674299851,1,1.0,94.0,1,1
E,E01007544,76.898,43.2,35.8,76.898,1,1.0,95.0,1,1
W,W01001428,73.7,43.0,31.0,76.86474238260732,1,1.0,96.0,1,1
W,W01001209,74.8,45.0,27.0,76.83380289595947,1,1.0,97.0,1,1
E,E01030247,76.806,48.6,41.199999999999996,76.806,1,1.0,98.0,1,1
E,E01004823,76.792,47.5,38.7,76.792,1,1.0,99.0,1,1
S,S01007853,80.39876772348165,42.0,37.0,76.70354394173665,1,1.0,100.0,1,1
S,S01010047,79.50102657925085,45.0,33.0,76.69373539043322,1,1.0,101.0,1,1
E,E01006494,76.636,53.6,36.7,76.636,1,1.0,102.0,1,1
E,E01024676,76.553,40.0,32.300000000000004,76.553,1,1.0,103.0,1,1
S,S01010207,82.57476322088229,49.0,40.0,76.46301504505104,1,1.0,104.0,1,1
E,E01013208,76.316,50.0,33.0,76.316,1,1.0,105.0,1,1
S,S01008929,79.90842715727025,43.0,36.0,76.29922499723,1,1.0,106.0,1,1
E,E01005754,76.234,48.1,37.4,76.234,1,1.0,107.0,1,1
E,E01009379,76.225,46.400000000000006,35.0,76.225,1,1.0,108.0,1,1
E,E01007003,76.196,43.5,33.900000000000006,76.196,1,1.0,109.0,1,1
S,S01010121,76.55816384982101,41.0,28.0,76.16504313659414,1,1.0,110.0,1,1
E,E01032332,76.145,43.8,32.6,76.145,1,1.0,111.0,1,1
E,E01007274,76.106,49.3,38.9,76.106,1,1.0,112.0,1,1
S,S01013395,76.77292599420923,41.0,29.0,75.9778485922966,1,1.0,113.0,1,1
E,E01033477,75.941,45.0,34.5,75.941,1,1.0,114.0,1,1
W,W01001308,74.4,46.0,25.0,75.92834035250934,1,1.0,115.0,1,1
E,E01010730,75.905,43.5,36.5,75.905,1,1.0,116.0,1,1
E,E01008304,75.897,45.300000000000004,37.4,75.897,1,1.0,117.0,1,1
E,E01006386,75.885,44.800000000000004,35.8,75.885,1,1.0,118.0,1,1
E,E01013140,75.879,43.9,29.9,75.879,1,1.0,119.0,1,1
S,S01013075,77.22737656194398,40.0,31.0,75.87182935847237,1,1.0,120.0,1,1
E,E01033679,75.863,45.0,34.4,75.863,1,1.0,121.0,1,1
E,E01007128,75.862,49.8,41.9,75.862,1,1.0,122.0,1,1
E,E01010612,75.825,45.800000000000004,32.9,75.825,1,1.0,123.0,1,1
S,S01009977,80.25109127128692,45.0,37.0,75.80445393082768,1,1.0,124.0,1,1
E,E01006493,75.8,55.900000000000006,37.0,75.8,1,1.0,125.0,1,1
S,S01010344,78.05354600449492,41.0,33.0,75.772565169314,1,1.0,126.0,1,1
E,E01010819,75.768,46.300000000000004,31.8,75.768,1,1.0,127.0,1,1
E,E01007129,75.76,43.1,40.1,75.76,1,1.0,128.0,1,1
E,E01010711,75.65,39.0,36.0,75.65,1,1.0,129.0,1,1
E,E01005350,75.624,53.2,42.8,75.624,1,1.0,130.0,1,1
E,E01012720,75.616,46.7,35.8,75.616,1,1.0,131.0,1,1
E,E01011368,75.543,39.900000000000006,34.300000000000004,75.543,1,1.0,132.0,1,1
S,S01009843,76.97627258514564,42.0,30.0,75.5397023764071,1,1.0,133.0,1,1
E,E01006448,75.522,51.9,34.599999999999994,75.522,1,1.0,134.0,1,1
S,S01009976,78.03081004310611,44.0,32.0,75.49861825870804,1,1.0,135.0,1,1
E,E01005756,75.498,43.8,34.9,75.498,1,1.0,136.0,1,1
E,E01014726,75.488,40.8,31.2,75.488,1,1.0,137.0,1,1
S,S01010312,79.43389820698181,46.0,35.0,75.44282135357889,1,1.0,138.0,1,1
S,S01007872,77.24879504735314,44.0,30.0,75.41857226163619,1,1.0,139.0,1,1
S,S01010893,82.41852292460021,49.0,42.0,75.33345149618451,1,1.0,140.0,1,1
E,E01012724,75.331,47.599999999999994,39.300000000000004,75.331,1,1.0,141.0,1,1
E,E01005682,75.302,46.9,42.9,75.302,1,1.0,142.0,1,1
E,E01009709,75.274,44.4,34.1,75.274,1,1.0,143.0,1,1
E,E01007273,75.265,45.800000000000004,35.4,75.265,1,1.0,144.0,1,1
E,E01025584,75.224,41.5,44.4,75.224,1,1.0,145.0,1,1
E,E01006413,75.149,46.2,40.6,75.149,1,1.0,146.0,1,1
E,E01006873,75.142,43.5,34.9,75.142,1,1.0,147.0,1,1
E,E01019143,75.081,38.0,32.9,75.081,1,1.0,148.0,1,1
E,E01005203,75.035,44.4,33.1,75.035,1,1.0,149.0,1,1
E,E01012944,75.033,38.0,35.5,75.033,1,1.0,150.0,1,1
E,E01007133,75.014,58.099999999999994,50.8,75.014,1,1.0,151.0,1,1
E,E01006417,74.948,41.8,38.6,74.948,1,1.0,152.5,1,1
E,E01013137,74.948,41.199999999999996,34.599999999999994,74.948,1,1.0,152.5,1,1
E,E01006695,74.929,41.699999999999996,37.2,74.929,1,1.0,154.0,1,1
S,S01012501,75.17653465852098,37.0,29.0,74.86470090039113,1,1.0,155.0,1,1
E,E01006467,74.863,42.699999999999996,37.4,74.863,1,1.0,156.0,1,1
S,S01010163,75.88752679764269,39.0,30.0,74.8447825728818,1,1.0,157.0,1,1
E,E01008011,74.795,45.7,33.900000000000006,74.795,1,1.0,158.0,1,1
S,S01010336,76.38315234906952,38.0,32.0,74.79184660301632,1,1.0,159.0,1,1
E,E01007006,74.774,41.4,32.9,74.774,1,1.0,160.0,1,1
S,S01010111,76.0181672568283,42.0,29.0,74.76857031298722,1,1.0,161.0,1,1
E,E01012089,74.736,51.6,34.699999999999996,74.736,1,1.0,162.0,1,1
E,E01012735,74.73,36.5,37.9,74.73,1,1.0,163.0,1,1
E,E01011994,74.719,47.5,36.0,74.719,1,1.0,164.0,1,1
S,S01011383,76.31324019729831,36.0,33.0,74.71011588897878,1,1.0,165.0,1,1
W,W01000413,73.4,47.0,24.0,74.68844807883869,1,1.0,166.0,1,1
S,S01007812,75.20127126042358,42.0,27.0,74.64355532749782,1,1.0,167.0,1,1
S,S01010362,81.86761686542933,45.0,44.0,74.64001872663073,1,1.0,168.0,1,1
W,W01001662,72.1,44.0,28.0,74.60740742177009,1,1.0,169.0,1,1
S,S01011384,75.88480995769024,40.0,30.0,74.60504538307912,1,1.0,170.0,1,1
S,S01010332,74.43436069328004,40.0,26.0,74.59138297254229,1,1.0,171.0,1,1
S,S01012491,76.92414003055032,42.0,32.0,74.54435572908052,1,1.0,172.0,1,1
E,E01006909,74.52,49.8,36.8,74.52,1,1.0,173.0,1,1
E,E01013142,74.512,41.6,30.0,74.512,1,1.0,174.0,1,1
E,E01033747,74.499,37.7,30.2,74.499,1,1.0,175.0,1,1
S,S01011361,75.96178494620469,35.0,33.0,74.49325033337614,1,1.0,176.0,1,1
S,S01013138,75.43619838591516,40.0,29.0,74.49075854796888,1,1.0,177.0,1,1
E,E01012266,74.481,47.9,34.599999999999994,74.481,1,1.0,178.0,1,1
E,E01033764,74.468,47.0,34.1,74.468,1,1.0,179.0,1,1
E,E01024657,74.458,42.8,30.4,74.458,1,1.0,180.0,1,1
E,E01006766,74.389,43.1,31.0,74.389,1,1.0,181.0,1,1
S,S01009780,73.70663171192032,37.0,26.0,74.36189020008426,1,1.0,182.0,1,1
E,E01006817,74.358,41.5,36.9,74.358,1,1.0,183.0,1,1
E,E01026597,74.353,38.7,38.0,74.353,1,1.0,184.0,1,1
E,E01006647,74.341,44.2,35.099999999999994,74.341,1,1.0,185.0,1,1
E,E01030250,74.332,41.3,33.7,74.332,1,1.0,186.0,1,1
E,E01012076,74.309,49.6,32.800000000000004,74.309,1,1.0,187.0,1,1
E,E01007293,74.283,52.0,43.0,74.283,1,1.0,188.0,1,1
E,E01010710,74.227,37.1,30.2,74.227,1,1.0,189.0,1,1
S,S01012838,75.14758474011573,40.0,29.0,74.11867450643915,1,1.0,190.0,1,1
S,S01010323,83.64592133396968,59.0,43.0,74.08941322223237,1,1.0,191.0,1,1
S,S01010224,74.9136389445445,43.0,27.0,74.03650181942646,1,1.0,192.0,1,1
E,E01012019,73.994,46.9,36.1,73.994,1,1.0,193.5,1,1
E,E01033483,73.994,41.0,34.9,73.994,1,1.0,193.5,1,1
E,E01006963,73.993,44.0,33.300000000000004,73.993,1,1.0,195.0,1,1
S,S01010495,75.40098513083655,40.0,30.0,73.98129283503346,1,1.0,196.0,1,1
W,W01000241,72.1,47.0,26.0,73.92590516575277,1,1.0,197.0,1,1
E,E01005433,73.896,43.3,30.7,73.896,1,1.0,198.0,1,1
E,E01013877,73.881,44.800000000000004,33.300000000000004,73.881,1,1.0,199.0,1,1
S,S01009980,75.83022927610544,43.0,30.0,73.82597551356685,1,1.0,200.0,1,1
S,S01010046,75.09929287001063,41.0,29.0,73.82018146202304,1,1.0,201.0,1,1
S,S01011240,81.04317462260033,46.0,43.0,73.80497204652657,1,1.0,202.0,1,1
E,E01022031,73.789,46.9,35.6,73.789,1,1.0,203.0,1,1
W,W01000144,69.2,43.0,36.0,73.78734194183177,1,1.0,204.0,1,1
E,E01006610,73.776,39.300000000000004,28.599999999999998,73.776,1,1.0,205.0,1,1
S,S01010330,74.12783261868206,38.0,28.0,73.74053590298438,1,1.0,206.0,1,1
E,E01027416,73.732,46.9,35.4,73.732,1,1.0,207.0,1,1
E,E01011363,73.67,40.9,29.299999999999997,73.67,1,1.0,208.0,1,1
S,S01009534,74.42123666597368,42.0,27.0,73.63792573007532,1,1.0,209.0,1,1
E,E01006248,73.622,40.6,32.4,73.622,1,1.0,210.0,1,1
E,E01015842,73.557,47.4,32.800000000000004,73.557,1,1.0,211.0,1,1
E,E01008291,73.512,47.599999999999994,32.0,73.512,1,1.0,212.0,1,1
E,E01012059,73.511,40.400000000000006,30.5,73.511,1,1.0,213.0,1,1
E,E01024678,73.499,39.7,31.900000000000002,73.499,1,1.0,214.0,1,1
W,W01001874,71.4,42.0,25.0,73.41938381945663,1,1.0,215.0,1,1
E,E01005138,73.414,41.6,29.099999999999998,73.414,1,1.0,216.0,1,1
E,E01006443,73.408,43.3,37.0,73.408,1,1.0,217.0,1,1
E,E01005090,73.349,42.8,32.1,73.349,1,1.0,218.0,1,1
E,E01006677,73.333,51.9,33.900000000000006,73.333,1,1.0,219.0,1,1
E,E01016111,73.322,40.699999999999996,35.9,73.322,1,1.0,220.0,1,1
E,E01013861,73.321,45.5,42.0,73.321,1,1.0,221.0,1,1
S,S01010023,77.23344524443823,47.0,33.0,73.29787415862752,1,1.0,222.0,1,1
E,E01010032,73.297,48.9,28.7,73.297,1,1.0,223.0,1,1
E,E01020972,73.26,48.3,37.7,73.26,1,1.0,224.0,1,1
E,E01032471,73.255,45.0,32.2,73.255,1,1.0,225.0,1,1
E,E01012091,73.207,46.400000000000006,33.4,73.207,1,1.0,226.0,1,1
E,E01020909,73.145,50.7,37.6,73.145,1,1.0,227.0,1,1
E,E01010666,73.106,38.7,27.0,73.106,1,1.0,228.0,1,1
E,E01011375,73.056,39.0,26.900000000000002,73.056,1,1.0,229.0,1,1
E,E01006460,73.046,42.699999999999996,33.1,73.046,1,1.0,230.0,1,1
E,E01028263,72.967,37.9,35.6,72.967,1,1.0,231.0,1,1
W,W01000733,69.7,36.0,28.0,72.96209865087985,1,1.0,232.0,1,1
S,S01009940,74.93020320048399,40.0,31.0,72.91028696133823,1,1.0,233.0,1,1
S,S01013135,75.28976526265197,40.0,32.0,72.9097701414131,1,1.0,234.0,1,1
S,S01008006,74.02577905443329,39.0,29.0,72.90866428402065,1,1.0,235.0,1,1
E,E01011973,72.905,46.0,36.7,72.905,1,1.0,236.0,1,1
E,E01014831,72.904,47.4,35.3,72.904,1,1.0,237.0,1,1
E,E01007121,72.839,47.099999999999994,35.3,72.839,1,1.0,238.0,1,1
E,E01006702,72.822,42.6,31.900000000000002,72.822,1,1.0,239.0,1,1
E,E01005568,72.778,47.599999999999994,31.5,72.778,1,1.0,240.0,1,1
E,E01012170,72.771,53.0,36.9,72.771,1,1.0,241.0,1,1
S,S01010056,72.27323825058089,38.0,25.0,72.74177658438798,1,1.0,242.0,1,1
S,S01009939,74.97278561808045,39.0,32.0,72.73735093543961,1,1.0,243.0,1,1
E,E01011625,72.732,45.9,28.9,72.732,1,1.0,244.0,1,1
E,E01006436,72.718,38.4,34.0,72.718,1,1.0,245.0,1,1
E,E01015155,72.714,45.1,37.8,72.714,1,1.0,246.0,1,1
S,S01010128,72.61181953606695,42.0,24.0,72.697409428111,1,1.0,247.0,1,1
E,E01008124,72.697,40.5,30.9,72.697,1,1.0,248.0,1,1
E,E01006703,72.673,40.1,35.699999999999996,72.673,1,1.0,249.0,1,1
E,E01011658,72.671,40.0,31.6,72.671,1,1.0,250.0,1,1
W,W01001222,70.6,42.0,25.0,72.66991619829768,1,1.0,251.0,1,1
E,E01008736,72.638,48.9,36.6,72.638,1,1.0,252.0,1,1
E,E01006560,72.629,45.6,38.6,72.629,1,1.0,253.0,1,1
E,E01005259,72.603,42.4,29.2,72.603,1,1.0,254.0,1,1
E,E01006790,72.566,42.1,33.2,72.566,1,1.0,255.0,1,1
S,S01010903,76.10099192681004,42.0,34.0,72.55500694157972,1,1.0,256.0,1,1
E,E01010820,72.553,38.5,30.0,72.553,1,1.0,257.0,1,1
E,E01013693,72.55,42.6,31.1,72.55,1,1.0,258.0,1,1
W,W01000863,70.2,42.0,26.0,72.52285337336691,1,1.0,259.0,1,1
E,E01006779,72.513,43.9,34.699999999999996,72.513,1,1.0,260.0,1,1
E,E01007124,72.478,46.9,33.7,72.478,1,1.0,261.0,1,1
E,E01005683,72.47,45.1,28.799999999999997,72.47,1,1.0,262.0,1,1
S,S01010019,73.84944797780655,40.0,29.0,72.4451016175329,1,1.0,263.0,1,1
E,E01006880,72.419,41.3,37.7,72.419,1,1.0,264.0,1,1
E,E01005658,72.41,40.300000000000004,31.5,72.41,1,1.0,265.0,1,1
E,E01009365,72.39,50.7,36.1,72.39,1,1.0,266.0,1,1
E,E01008380,72.353,46.2,34.2,72.353,1,1.0,267.0,1,1
E,E01024877,72.339,42.5,27.500000000000004,72.339,1,1.0,268.0,1,1
E,E01005432,72.323,41.4,30.8,72.323,1,1.0,269.0,1,1
E,E01032514,72.281,40.2,29.5,72.281,1,1.0,270.0,1,1
W,W01001884,71.2,49.0,23.0,72.2489676118563,1,1.0,271.0,1,1
E,E01005255,72.236,41.099999999999994,34.599999999999994,72.236,1,1.0,272.0,1,1
E,E01027140,72.233,39.7,30.599999999999998,72.233,1,1.0,273.5,1,1
E,E01026624,72.233,34.300000000000004,29.7,72.233,1,1.0,273.5,1,1
E,E01021015,72.225,50.4,31.0,72.225,1,1.0,275.0,1,1
E,E01012893,72.204,40.300000000000004,28.1,72.204,1,1.0,276.0,1,1
E,E01025156,72.179,48.699999999999996,35.4,72.179,1,1.0,277.0,1,1
E,E01005088,72.174,44.2,29.099999999999998,72.174,1,1.0,278.0,1,1
E,E01012678,72.165,36.0,26.5,72.165,1,1.0,279.0,1,1
E,E01005322,72.124,38.800000000000004,30.599999999999998,72.124,1,1.0,280.0,1,1
E,E01017040,72.083,42.3,29.5,72.083,1,1.0,281.0,1,1
E,E01005758,72.065,38.5,32.800000000000004,72.065,1,1.0,282.0,1,1
E,E01011978,72.03,45.2,32.4,72.03,1,1.0,283.0,1,1
E,E01012037,72.024,50.5,30.099999999999998,72.024,1,1.0,284.0,1,1
E,E01006674,72.003,51.1,33.6,72.003,1,1.0,285.0,1,1
S,S01010455,76.16562791138365,41.0,36.0,71.94643425035378,1,1.0,286.0,1,1
E,E01012112,71.936,42.199999999999996,36.6,71.936,1,1.0,287.0,1,1
E,E01015231,71.902,40.400000000000006,34.4,71.902,1,1.0,288.0,1,1
E,E01007289,71.878,47.9,36.6,71.878,1,1.0,289.0,1,1
S,S01010055,73.20812904729534,35.0,31.0,71.87134213966526,1,1.0,290.0,1,1
E,E01007126,71.864,43.5,40.8,71.864,1,1.0,291.0,1,1
E,E01005665,71.863,44.6,32.0,71.863,1,1.0,292.0,1,1
S,S01010904,75.74202740205827,45.0,33.0,71.84759028844894,1,1.0,293.0,1,1
S,S01012065,72.3037067954859,42.0,25.0,71.8361185503748,1,1.0,294.0,1,1
E,E01009002,71.83,48.5,32.300000000000004,71.83,1,1.0,295.0,1,1
E,E01013691,71.829,41.3,30.3,71.829,1,1.0,296.0,1,1
S,S01012786,73.4870329871432,41.0,29.0,71.74163742245794,1,1.0,297.0,1,1
E,E01019156,71.737,43.3,37.9,71.737,1,1.0,298.0,1,1
E,E01005483,71.698,44.4,31.1,71.698,1,1.0,299.0,1,1
E,E01009160,71.69,48.1,31.900000000000002,71.69,1,1.0,300.0,1,1
E,E01013948,71.684,46.6,37.6,71.684,1,1.0,301.0,1,1
E,E01008439,71.679,40.1,33.5,71.679,1,1.0,302.0,1,1
S,S01010120,71.45306040161371,40.0,24.0,71.675993001648,1,1.0,303.0,1,1
W,W01001741,70.8,52.0,23.0,71.64807351655688,1,1.0,304.0,1,1
E,E01012000,71.572,46.300000000000004,38.0,71.572,1,1.0,305.0,1,1
E,E01025110,71.554,37.1,32.300000000000004,71.554,1,1.0,306.0,1,1
E,E01011667,71.544,43.1,27.500000000000004,71.544,1,1.0,307.5,1,1
E,E01010964,71.544,46.0,30.8,71.544,1,1.0,307.5,1,1
E,E01019139,71.505,36.4,35.9,71.505,1,1.0,309.0,1,1
E,E01005729,71.481,44.1,35.099999999999994,71.481,1,1.0,310.0,1,1
S,S01007485,72.91535884250314,41.0,28.0,71.46869689879527,1,1.0,311.0,1,1
E,E01007220,71.432,41.3,32.300000000000004,71.432,1,1.0,312.0,1,1
E,E01011347,71.407,40.300000000000004,24.9,71.407,1,1.0,313.0,1,1
E,E01005610,71.406,43.5,25.900000000000002,71.406,1,1.0,314.0,1,1
E,E01008303,71.356,39.5,33.900000000000006,71.356,1,1.0,315.0,1,1
W,W01000862,69.5,43.0,24.0,71.33634047198218,1,1.0,316.0,1,1
E,E01012060,71.336,47.199999999999996,30.599999999999998,71.336,1,1.0,317.5,1,1
E,E01005261,71.336,41.099999999999994,27.6,71.336,1,1.0,317.5,1,1
E,E01020752,71.325,40.2,40.2,71.325,1,1.0,319.0,1,1
E,E01011294,71.263,38.6,29.4,71.263,1,1.0,320.0,1,1
E,E01005141,71.241,38.800000000000004,34.0,71.241,1,1.0,321.0,1,1
S,S01009860,73.27416962421808,40.0,30.0,71.23937774956087,1,1.0,322.0,1,1
E,E01005257,71.224,40.2,30.3,71.224,1,1.0,323.0,1,1
E,E01013726,71.184,43.8,30.8,71.184,1,1.0,324.0,1,1
S,S01010138,80.98153564839039,49.0,47.0,71.16052903162762,1,1.0,325.0,1,1
E,E01014727,71.15,40.1,28.299999999999997,71.15,1,1.0,326.0,1,1
E,E01019663,71.148,47.9,37.2,71.148,1,1.0,327.0,1,1
E,E01010679,71.145,36.6,25.0,71.145,1,1.0,328.0,1,1
E,E01012267,71.142,44.6,34.0,71.142,1,1.0,329.0,1,1
E,E01011792,71.126,39.800000000000004,33.6,71.126,1,1.0,330.0,1,1
E,E01009109,71.102,44.3,27.0,71.102,1,1.0,331.0,1,1
E,E01009638,71.091,47.5,34.699999999999996,71.091,1,1.0,332.0,1,1
E,E01007123,71.032,42.5,30.5,71.032,1,1.0,333.0,1,1
E,E01012748,71.029,37.6,33.4,71.029,1,1.0,334.0,1,1
E,E01008302,71.028,41.0,31.4,71.028,1,1.0,335.0,1,1
E,E01022026,71.02,40.6,32.4,71.02,1,1.0,336.0,1,1
E,E01005952,71.016,45.5,35.199999999999996,71.016,1,1.0,337.0,1,1
S,S01009844,71.08003032421317,35.0,27.0,70.98404622983674,1,1.0,338.0,1,1
S,S01013201,71.08853133956893,39.0,25.0,70.9782041598734,1,1.0,339.0,1,1
E,E01006455,70.978,43.1,32.2,70.978,1,1.0,340.0,1,1
S,S01008001,71.79841140442694,37.0,28.0,70.97365381041999,1,1.0,341.0,1,1
